analysis_BCStepCode|TEDI_compliance,archetype|Area-Basement-m2,archetype|Area-Ceiling-m2,archetype|Area-Crawl-m2,archetype|Area-Door-m2,archetype|Area-DoorWin-m2,archetype|Area-ExposedFloor-m2,archetype|Area-Header-m2,archetype|Area-House-m2,archetype|Area-Slab-m2,archetype|Area-Walkout-m2,archetype|Area-Wall-m2,archetype|Area-Windows-m2,archetype|Base-Locale,archetype|Base-Region,archetype|Ceiling-Type,archetype|Floor-Area-m2,archetype|House-Builder,archetype|House-Storeys,archetype|House-Type,archetype|House-Volume-m3,archetype|Weather-Locale,archetype|Win-Area-m2-E,archetype|Win-Area-m2-N,archetype|Win-Area-m2-NE,archetype|Win-Area-m2-NW,archetype|Win-Area-m2-S,archetype|Win-Area-m2-SE,archetype|Win-Area-m2-SW,archetype|Win-Area-m2-W,archetype|Win-R-value-E,archetype|Win-R-value-N,archetype|Win-R-value-NE,archetype|Win-R-value-NW,archetype|Win-R-value-S,archetype|Win-R-value-SE,archetype|Win-R-value-SW,archetype|Win-R-value-W,archetype|Win-SHGC-E,archetype|Win-SHGC-N,archetype|Win-SHGC-NE,archetype|Win-SHGC-NW,archetype|Win-SHGC-S,archetype|Win-SHGC-SE,archetype|Win-SHGC-SW,archetype|Win-SHGC-W,archetype|climate-zone,archetype|fuel-DHW-presub,archetype|fuel-heating-presub,archetype|h2k-File,configuration|ChoiceFile,configuration|OptionsFile,configuration|Recovered-results,configuration|RunDirectory,configuration|RunNumber,configuration|SaveDirectory,cost-estimates|audit,cost-estimates|byAttribute|Opt-Ceilings,cost-estimates|byAttribute|Opt-AtticCeilings,cost-estimates|byAttribute|Opt-ACH,cost-estimates|byAttribute|Opt-CasementWindows,cost-estimates|byAttribute|Opt-DWHRSystem,cost-estimates|byAttribute|Opt-GenericWall_1Layer_definitions,cost-estimates|byAttribute|Opt-HVACSystem,cost-estimates|byAttribute|Opt-HRVonly,cost-estimates|byAttribute|Opt-DHWSystem,cost-estimates|byAttribute|Opt-FoundationWallExtIns,cost-estimates|byAttribute|Opt-FoundationWallIntIns,cost-estimates|byAttribute|Opt-FoundationSlabBelowGrade,cost-estimates|byAttribute|Opt-FoundationSlabOnGrade,cost-estimates|byAttribute|Opt-FloorHeaderIntIns,cost-estimates|byAttribute|Opt-ExposedFloor,cost-estimates|byBuildingComponent|envelope,cost-estimates|byBuildingComponent|mechanical,cost-estimates|byBuildingComponent|renewable,cost-estimates|bySource,cost-estimates|costing-dimensions,cost-estimates|status,cost-estimates|total,input|GOconfig_rotate,input|House-ListOfUpgrades,input|House-Upgraded,input|Opt-ACH,input|Opt-AtticCeilings,input|Opt-Baseloads,input|Opt-CasementWindows,input|Opt-CathCeilings,input|Opt-Ceilings,input|Opt-DBFiles,input|Opt-DHWSystem,input|Opt-DWHRSystem,input|Opt-DoorWindows,input|Opt-Doors,input|Opt-ExposedFloor,input|Opt-FlatCeilings,input|Opt-FloorHeaderIntIns,input|Opt-FoundationSlabBelowGrade,input|Opt-FoundationSlabOnGrade,input|Opt-FoundationWallExtIns,input|Opt-FoundationWallIntIns,input|Opt-FuelCost,input|Opt-GenericWall_1Layer_definitions,input|Opt-H2K-PV,input|Opt-HRVonly,input|Opt-HRVspec,input|Opt-HVACSystem,input|Opt-Location,input|Opt-MainWall,input|Opt-ResultHouseCode,input|Opt-Ruleset,input|Opt-Skylights,input|Opt-Specifications,input|Opt-Temperatures,input|Run-Locale,input|Run-Region,output|AuxEnergyReq-HeatingGJ,output|AvgAirConditioning-COP,output|ERS-Value,output|Energy-CoolingGJ,output|Energy-DHWGJ,output|Energy-HeatingGJ,output|Energy-PV-kWh,output|Energy-PlugGJ,output|Energy-Total-GJ,output|Energy-VentGJ,output|EnergyEleckWh,output|EnergyGasM3,output|EnergyOil_l,output|EnergyProp_L,output|EnergyWood_cord,output|Gross-HeatLoss-GJ,output|HDDs,output|House-R-Value(SI),output|LapsedTime,output|MEUI_kWh_m2,output|NumTries,output|PEAK-Cooling-W,output|PEAK-Heating-W,output|Ref-En-Total-GJ,output|SimplePaybackYrs,output|TEDI_kWh_m2,output|TotalAirConditioning-LoadGJ,output|Util-Bill-Elec,output|Util-Bill-Gas,output|Util-Bill-Net,output|Util-Bill-Oil,output|Util-Bill-Prop,output|Util-Bill-Wood,output|Util-Bill-gross,output|Util-PV-revenue,status|H2KDirCheckSumMatch,status|H2KDirCopyAttempts,status|H2KExecutionAttempts,status|H2KExecutionTime,status|MD5master,status|MD5workingcopy,status|errors,status|infoMsgs,status|processingtime,status|substitute-h2k-err-msgs,status|success,status|warnings,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,216.244,23.624,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,TORONTO,2.7,0,0,0,2.7,0,0,18.3,0.602,0,0,0,0.602,0,0,0.624,0.272,0,0,0,0.272,0,0,0.278,Zone 5,,Natural gas,pro-B-EW-corrected.h2k,sim-1.choices,HTAP-options.json,General,HTAP-work-0,1,HTAP-sim-1,Details in JSON output,0.0,0.0,0.0,7064.0,0.0,0.0,4487.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7064.0,4487.04,0,Details in JSON output,Details in JSON output,true,11551.04,S,Opt-CasementWindows=>NBC-zone5-window;Opt-HVACSystem=>elec-baseboard+AC;,true,NA,NA,NA,NBC-zone5-window,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elec-baseboard+AC,TORONTO,NA,NA,as-found,NA,NA,NA,TORONTO,ONTARIO,64.6,2.5,0,2.3,22.8,64.6,0,31.5,125.5,2.4,28547.7,611.2,0.0,0.0,0.0,103,3520,3.439,2.44,83.9,1,3502.4,10318.5,0.0,2962.7,58.9,6.5,2950.13,492.55,3442.68,0.0,0.0,0.0,3442.68,0.0,true,1,1,2.4378509999999998,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,216.244,23.624,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,TORONTO,2.7,0,0,0,2.7,0,0,18.3,0.55,0,0,0,0.55,0,0,0.55,0.488,0,0,0,0.488,0,0,0.493,Zone 5,,Natural gas,pro-B-EW-corrected.h2k,sim-2.choices,HTAP-options.json,General,HTAP-work-1,2,HTAP-sim-2,Details in JSON output,0.0,0.0,0.0,7064.0,0.0,0.0,4898.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7064.0,4898.3,0,Details in JSON output,Details in JSON output,true,11962.3,S,Opt-CasementWindows=>NC-2g-HG-u1.82;Opt-HVACSystem=>elec-baseboard+AC;,true,NA,NA,NA,NC-2g-HG-u1.82,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elec-baseboard+AC,TORONTO,NA,NA,as-found,NA,NA,NA,TORONTO,ONTARIO,61.3,2.8,0,3.0,22.7,61.3,0,31.5,123.6,2.4,28018.0,610.8,0.0,0.0,0.0,105,3520,3.313,2.35,81.6,1,4683.8,10511.4,0.0,2908.7,56.0,9.9,2896.31,492.34,3388.65,0.0,0.0,0.0,3388.65,0.0,true,1,1,2.347091,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,216.244,23.624,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,TORONTO,2.7,0,0,0,2.7,0,0,18.3,0.606,0,0,0,0.606,0,0,0.606,0.254,0,0,0,0.254,0,0,0.256,Zone 5,,Natural gas,pro-B-EW-corrected.h2k,sim-3.choices,HTAP-options.json,General,HTAP-work-2,3,HTAP-sim-3,Details in JSON output,0.0,0.0,0.0,7318.28,0.0,0.0,4461.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7318.28,4461.26,0,Details in JSON output,Details in JSON output,true,11779.539999999999,S,Opt-CasementWindows=>NC-2g-MG-u1.65;Opt-HVACSystem=>elec-baseboard+AC;,true,NA,NA,NA,NC-2g-MG-u1.65,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elec-baseboard+AC,TORONTO,NA,NA,as-found,NA,NA,NA,TORONTO,ONTARIO,65.4,2.5,0,2.2,22.7,65.4,0,31.5,125.8,2.4,28621.7,610.6,0.0,0.0,0.0,103,3520,3.417,2.44,84.6,1,3396.5,10350.9,0.0,2969.9,59.7,6.1,2957.65,492.22,3449.87,0.0,0.0,0.0,3449.87,0.0,true,1,1,2.4401639999999998,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,216.244,23.624,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,TORONTO,2.7,0,0,0,2.7,0,0,18.3,0.735,0,0,0,0.735,0,0,0.735,0.254,0,0,0,0.254,0,0,0.256,Zone 5,,Natural gas,pro-B-EW-corrected.h2k,sim-4.choices,HTAP-options.json,General,HTAP-work-3,4,HTAP-sim-4,Details in JSON output,0.0,0.0,0.0,8162.5,0.0,0.0,4452.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8162.5,4452.18,0,Details in JSON output,Details in JSON output,true,12614.68,S,Opt-CasementWindows=>NC-3g-MG-u1.36;Opt-HVACSystem=>elec-baseboard+AC;,true,NA,NA,NA,NC-3g-MG-u1.36,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elec-baseboard+AC,TORONTO,NA,NA,as-found,NA,NA,NA,TORONTO,ONTARIO,62.8,2.5,0,2.2,22.8,62.8,0,31.5,123.3,2.4,27933.4,611.2,0.0,0.0,0.0,100,3520,3.611,2.38,82.2,1,3359.2,10076.9,0.0,2900.3,57.3,6.0,2887.71,492.56,3380.27,0.0,0.0,0.0,3380.27,0.0,true,1,1,2.383927,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,216.244,23.624,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,TORONTO,2.7,0,0,0,2.7,0,0,18.3,0.877,0,0,0,0.877,0,0,0.877,0.166,0,0,0,0.166,0,0,0.168,Zone 5,,Natural gas,pro-B-EW-corrected.h2k,sim-5.choices,HTAP-options.json,General,HTAP-work-0,5,HTAP-sim-5,Details in JSON output,0.0,0.0,0.0,8625.3,0.0,0.0,4206.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8625.3,4206.05,0,Details in JSON output,Details in JSON output,true,12831.349999999999,S,Opt-CasementWindows=>NC-3g-LG-u1.14;Opt-HVACSystem=>elec-baseboard+AC;,true,NA,NA,NA,NC-3g-LG-u1.14,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elec-baseboard+AC,TORONTO,NA,NA,as-found,NA,NA,NA,TORONTO,ONTARIO,63.2,2.3,0,1.9,22.8,63.2,0,31.5,123.1,2.4,27881.0,611.1,0.0,0.0,0.0,98,3520,3.774,1.46,82.3,1,2856.3,9869.0,0.0,2894.9,57.7,4.9,2882.39,492.52,3374.91,0.0,0.0,0.0,3374.91,0.0,true,1,1,1.4575310000000001,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,216.244,23.624,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,TORONTO,2.7,0,0,0,2.7,0,0,18.3,0.926,0,0,0,0.926,0,0,0.926,0.254,0,0,0,0.254,0,0,0.256,Zone 5,,Natural gas,pro-B-EW-corrected.h2k,sim-6.choices,HTAP-options.json,General,HTAP-work-1,6,HTAP-sim-6,Details in JSON output,0.0,0.0,0.0,9235.58,0.0,0.0,4319.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9235.58,4319.65,0,Details in JSON output,Details in JSON output,true,13555.23,S,Opt-CasementWindows=>NC-3g-MG-u1.08;Opt-HVACSystem=>elec-baseboard+AC;,true,NA,NA,NA,NC-3g-MG-u1.08,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elec-baseboard+AC,TORONTO,NA,NA,as-found,NA,NA,NA,TORONTO,ONTARIO,60.2,2.5,0,2.2,22.8,60.2,0,31.5,120.7,2.4,27207.2,611.2,0.0,0.0,0.0,97,3520,3.82,1.46,79.8,1,3323.1,9812.4,0.0,2826.5,54.9,6.0,2813.93,492.58,3306.52,0.0,0.0,0.0,3306.52,0.0,true,1,1,1.455804,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
