analysis_BCStepCode|TEDI_compliance,archetype|Area-Basement-m2,archetype|Area-Ceiling-m2,archetype|Area-Crawl-m2,archetype|Area-Door-m2,archetype|Area-DoorWin-m2,archetype|Area-ExposedFloor-m2,archetype|Area-Header-m2,archetype|Area-House-m2,archetype|Area-Slab-m2,archetype|Area-Walkout-m2,archetype|Area-Wall-m2,archetype|Area-Windows-m2,archetype|Base-Locale,archetype|Base-Region,archetype|Ceiling-Type,archetype|Floor-Area-m2,archetype|Front-Orientation,archetype|House-Builder,archetype|House-Storeys,archetype|House-Type,archetype|House-Volume-m3,archetype|Weather-Locale,archetype|Win-Area-m2-E,archetype|Win-Area-m2-N,archetype|Win-Area-m2-NE,archetype|Win-Area-m2-NW,archetype|Win-Area-m2-S,archetype|Win-Area-m2-SE,archetype|Win-Area-m2-SW,archetype|Win-Area-m2-W,archetype|Win-R-value-E,archetype|Win-R-value-N,archetype|Win-R-value-NE,archetype|Win-R-value-NW,archetype|Win-R-value-S,archetype|Win-R-value-SE,archetype|Win-R-value-SW,archetype|Win-R-value-W,archetype|Win-SHGC-E,archetype|Win-SHGC-N,archetype|Win-SHGC-NE,archetype|Win-SHGC-NW,archetype|Win-SHGC-S,archetype|Win-SHGC-SE,archetype|Win-SHGC-SW,archetype|Win-SHGC-W,archetype|climate-zone,archetype|fuel-DHW-presub,archetype|fuel-heating-presub,archetype|h2k-File,configuration|ChoiceFile,configuration|OptionsFile,configuration|Recovered-results,configuration|RunDirectory,configuration|RunNumber,configuration|SaveDirectory,cost-estimates|audit,cost-estimates|byAttribute|Opt-Ceilings,cost-estimates|byAttribute|Opt-AtticCeilings,cost-estimates|byAttribute|Opt-ACH,cost-estimates|byAttribute|Opt-CasementWindows,cost-estimates|byAttribute|Opt-DWHRSystem,cost-estimates|byAttribute|Opt-GenericWall_1Layer_definitions,cost-estimates|byAttribute|Opt-HVACSystem,cost-estimates|byAttribute|Opt-HRVonly,cost-estimates|byAttribute|Opt-DHWSystem,cost-estimates|byAttribute|Opt-FoundationWallExtIns,cost-estimates|byAttribute|Opt-FoundationWallIntIns,cost-estimates|byAttribute|Opt-FoundationSlabBelowGrade,cost-estimates|byAttribute|Opt-FoundationSlabOnGrade,cost-estimates|byAttribute|Opt-FloorHeaderIntIns,cost-estimates|byAttribute|Opt-ExposedFloor,cost-estimates|byBuildingComponent|envelope,cost-estimates|byBuildingComponent|mechanical,cost-estimates|byBuildingComponent|renewable,cost-estimates|bySource,cost-estimates|costing-dimensions,cost-estimates|status,cost-estimates|total,input|GOconfig_rotate,input|House-ListOfUpgrades,input|House-Upgraded,input|Opt-ACH,input|Opt-AtticCeilings,input|Opt-Baseloads,input|Opt-CasementWindows,input|Opt-CathCeilings,input|Opt-Ceilings,input|Opt-DBFiles,input|Opt-DHWSystem,input|Opt-DWHRSystem,input|Opt-DoorWindows,input|Opt-Doors,input|Opt-ExposedFloor,input|Opt-FlatCeilings,input|Opt-FloorHeaderIntIns,input|Opt-FoundationSlabBelowGrade,input|Opt-FoundationSlabOnGrade,input|Opt-FoundationWallExtIns,input|Opt-FoundationWallIntIns,input|Opt-FuelCost,input|Opt-GenericWall_1Layer_definitions,input|Opt-H2K-PV,input|Opt-HRVonly,input|Opt-HRVspec,input|Opt-HVACSystem,input|Opt-Location,input|Opt-MainWall,input|Opt-ResultHouseCode,input|Opt-Ruleset,input|Opt-Skylights,input|Opt-Specifications,input|Opt-Temperatures,input|Opt-WindowDistribution,input|Run-Locale,input|Run-Region,output|AuxEnergyReq-HeatingGJ,output|AvgAirConditioning-COP,output|ERS-Value,output|Energy-CoolingGJ,output|Energy-DHWGJ,output|Energy-HeatingGJ,output|Energy-PV-kWh,output|Energy-PlugGJ,output|Energy-Total-GJ,output|Energy-VentGJ,output|EnergyEleckWh,output|EnergyGasM3,output|EnergyOil_l,output|EnergyProp_L,output|EnergyWood_cord,output|Gross-HeatLoss-GJ,output|HDDs,output|House-R-Value(SI),output|LapsedTime,output|MEUI_kWh_m2,output|NumTries,output|PEAK-Cooling-W,output|PEAK-Heating-W,output|Ref-En-Total-GJ,output|SimplePaybackYrs,output|TEDI_kWh_m2,output|TotalAirConditioning-LoadGJ,output|Util-Bill-Elec,output|Util-Bill-Gas,output|Util-Bill-Net,output|Util-Bill-Oil,output|Util-Bill-Prop,output|Util-Bill-Wood,output|Util-Bill-gross,output|Util-PV-revenue,status|H2KDirCheckSumMatch,status|H2KDirCopyAttempts,status|H2KExecutionAttempts,status|H2KExecutionTime,status|MD5master,status|MD5workingcopy,status|errors,status|infoMsgs,status|processingtime,status|substitute-h2k-err-msgs,status|success,status|warnings,
Step 1,0.0,65.276,0.0,5.997,1.409,37.528,12.497,274.028,19.83,0.0,129.619,23.111,SASKATOON,SASKATCHEWAN,Cathedral,134.5,S,S-1003,Three,Rowhouse-middleunit,398.8,SASKATOON,5.4,5.4,0.0,0.0,6.8,0.0,0.0,5.4,0.606,0.606,0.0,0.0,0.618,0.0,0.0,0.606,0.256,0.256,0.0,0.0,0.293,0.0,0.0,0.256,Zone 7a,,Natural gas,ERS-1187.H2K,sim-180.choices,HTAP-options.json,General,HTAP-work-19,180,HTAP-sim-180,Details in JSON output,0.0,0.0,0.0,6722.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6722.86,0.0,0,Details in JSON output,Details in JSON output,true,6722.86,S,Opt-CasementWindows=>NC-2g-MG-u1.65;Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Reference-9.36;,true,NA,NA,NA,NC-2g-MG-u1.65,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Reference-9.36,NA,SASKATCHEWAN,50.7,2.0,0.0,3.1,15.6,50.7,0,25.6,92.4,2.0,22744.0,418.1,0.0,0.0,0.0,87,5700,2.724,9.66,147.4,1.0,3024.4,10203.9,0.0,-480.0,104.8,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,1,1,9.657759,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 3,93.81,130.551,0.0,5.673,1.231,0.743,25.448,422.823,0.0,0.0,229.065,31.343,EDMONTON,ALBERTA,Cathedral,353.7,S,A-1001,Three,SingleDetached,976.4,EDMONTON,4.7,12.1,0.0,0.0,9.9,0.0,0.0,4.7,0.736,0.816,0.0,0.0,0.791,0.0,0.0,0.766,0.461,0.416,0.0,0.0,0.386,0.0,0.0,0.474,Zone 7a,,Natural gas,ERS-1200.H2K,sim-181.choices,HTAP-options.json,General,HTAP-work-20,181,HTAP-sim-181,Details in JSON output,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Details in JSON output,Details in JSON output,true,0.0,S,Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Proposed-9.36;,true,NA,NA,NA,NA,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Proposed-9.36,NA,ALBERTA,87.2,1.0,0.0,1.2,25.8,97.4,0,25.6,144.9,2.8,12790.2,2869.3,0.0,0.0,0.0,146,5120,3.058,7.06,99.9,1.0,4145.7,14535.7,0.0,-480.0,68.5,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,1,1,7.058939,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 3,93.81,130.551,0.0,5.673,1.231,0.743,25.448,417.392,0.0,0.0,214.177,40.801,EDMONTON,ALBERTA,Cathedral,353.7,S,A-1001,Three,SingleDetached,976.4,EDMONTON,9.9,10.4,0.0,0.0,10.6,0.0,0.0,9.9,0.846,0.882,0.0,0.0,0.871,0.0,0.0,0.846,0.525,0.415,0.0,0.0,0.38,0.0,0.0,0.525,Zone 7a,,Natural gas,ERS-1200.H2K,sim-182.choices,HTAP-options.json,General,HTAP-work-21,182,HTAP-sim-182,Details in JSON output,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Details in JSON output,Details in JSON output,true,0.0,S,Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Reference-9.36;,true,NA,NA,NA,NA,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Reference-9.36,NA,ALBERTA,81.7,1.5,0.0,1.5,25.9,91.7,0,25.6,139.8,2.8,12730.7,2731.3,0.0,0.0,0.0,149,5120,2.962,8.32,95.6,1.0,6144.2,14889.9,0.0,-480.0,64.2,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,1,1,8.315819,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,93.81,130.551,0.0,5.673,1.231,0.743,25.448,422.823,0.0,0.0,229.065,31.343,EDMONTON,ALBERTA,Cathedral,353.7,S,A-1001,Three,SingleDetached,976.4,EDMONTON,4.7,12.1,0.0,0.0,9.9,0.0,0.0,4.7,0.606,0.606,0.0,0.0,0.604,0.0,0.0,0.606,0.184,0.192,0.0,0.0,0.195,0.0,0.0,0.184,Zone 7a,,Natural gas,ERS-1200.H2K,sim-183.choices,HTAP-options.json,General,HTAP-work-22,183,HTAP-sim-183,Details in JSON output,0.0,0.0,0.0,9328.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9328.28,0.0,0,Details in JSON output,Details in JSON output,true,9328.28,S,Opt-CasementWindows=>NC-2g-LG-u1.65;Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Proposed-9.36;,true,NA,NA,NA,NC-2g-LG-u1.65,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Proposed-9.36,NA,ALBERTA,104.3,0.7,0.0,1.1,25.8,115.2,0,25.6,161.6,2.8,14216.1,3205.1,0.0,0.0,0.0,152,5120,2.814,6.44,113.8,1.0,2934.7,15159.1,0.0,-480.0,81.9,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,1,1,6.440507,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,93.81,130.551,0.0,5.673,1.231,0.743,25.448,417.392,0.0,0.0,214.177,40.801,EDMONTON,ALBERTA,Cathedral,353.7,S,A-1001,Three,SingleDetached,976.4,EDMONTON,9.9,10.4,0.0,0.0,10.6,0.0,0.0,9.9,0.606,0.606,0.0,0.0,0.604,0.0,0.0,0.606,0.188,0.196,0.0,0.0,0.197,0.0,0.0,0.188,Zone 7a,,Natural gas,ERS-1200.H2K,sim-184.choices,HTAP-options.json,General,HTAP-work-23,184,HTAP-sim-184,Details in JSON output,0.0,0.0,0.0,12258.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12258.12,0.0,0,Details in JSON output,Details in JSON output,true,12258.12,S,Opt-CasementWindows=>NC-2g-LG-u1.65;Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Reference-9.36;,true,NA,NA,NA,NC-2g-LG-u1.65,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Reference-9.36,NA,ALBERTA,107.0,0.9,0.0,1.2,25.9,117.8,0,25.6,164.2,2.8,15324.1,3171.3,0.0,0.0,0.0,160,5120,2.594,6.55,115.9,1.0,3707.3,15930.3,0.0,-480.0,84.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,1,1,6.547582,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 2,93.81,130.551,0.0,5.673,1.231,0.743,25.448,422.823,0.0,0.0,229.065,31.343,EDMONTON,ALBERTA,Cathedral,353.7,S,A-1001,Three,SingleDetached,976.4,EDMONTON,4.7,12.1,0.0,0.0,9.9,0.0,0.0,4.7,0.606,0.606,0.0,0.0,0.604,0.0,0.0,0.606,0.251,0.257,0.0,0.0,0.258,0.0,0.0,0.251,Zone 7a,,Natural gas,ERS-1200.H2K,sim-185.choices,HTAP-options.json,General,HTAP-work-24,185,HTAP-sim-185,Details in JSON output,0.0,0.0,0.0,9328.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9328.28,0.0,0,Details in JSON output,Details in JSON output,true,9328.28,S,Opt-CasementWindows=>NC-2g-MG-u1.65;Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Proposed-9.36;,true,NA,NA,NA,NC-2g-MG-u1.65,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Proposed-9.36,NA,ALBERTA,100.7,0.8,0.0,1.1,25.8,111.4,0,25.6,158.1,2.8,13978.2,3128.3,0.0,0.0,0.0,152,5120,2.814,7.27,110.8,1.0,3274.7,15159.1,0.0,-480.0,79.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,1,1,7.27409,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,93.81,130.551,0.0,5.673,1.231,0.743,25.448,417.392,0.0,0.0,214.177,40.801,EDMONTON,ALBERTA,Cathedral,353.7,S,A-1001,Three,SingleDetached,976.4,EDMONTON,9.9,10.4,0.0,0.0,10.6,0.0,0.0,9.9,0.606,0.606,0.0,0.0,0.604,0.0,0.0,0.606,0.257,0.262,0.0,0.0,0.262,0.0,0.0,0.257,Zone 7a,,Natural gas,ERS-1200.H2K,sim-186.choices,HTAP-options.json,General,HTAP-work-25,186,HTAP-sim-186,Details in JSON output,0.0,0.0,0.0,12258.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12258.12,0.0,0,Details in JSON output,Details in JSON output,true,12258.12,S,Opt-CasementWindows=>NC-2g-MG-u1.65;Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Reference-9.36;,true,NA,NA,NA,NC-2g-MG-u1.65,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Reference-9.36,NA,ALBERTA,102.2,1.0,0.0,1.2,25.9,112.7,0,25.6,159.5,2.8,14921.8,3076.9,0.0,0.0,0.0,160,5120,2.594,5.55,112.0,1.0,4302.8,15930.3,0.0,-480.0,80.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,1,1,5.548883,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 3,61.14,62.3,0.0,3.87,2.835,0.0,12.163,191.214,0.0,0.0,99.665,13.216,OTTAWA,ONTARIO,Attic/gable,185.7,SW,S-1007,Two,Rowhouse-endunit,484.1,OTTAWA,0.0,0.0,5.2,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.459,0.0,0.0,0.0,0.553,0.0,0.0,0.0,0.478,0.0,0.0,0.0,0.425,0.0,Zone 6,,Natural gas,ERS-1210.H2K,sim-187.choices,HTAP-options.json,General,HTAP-work-26,187,HTAP-sim-187,Details in JSON output,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Details in JSON output,Details in JSON output,true,0.0,S,Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Proposed-9.36;,true,NA,NA,NA,NA,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Proposed-9.36,NA,ONTARIO,32.2,2.2,0.0,3.1,20.5,32.2,0,25.6,84.2,2.3,17695.9,551.5,0.0,0.0,0.0,64,4500,3.025,6.95,87.1,1.0,2719.1,4321.4,0.0,2948.6,48.2,7.9,2993.67,434.98,3428.65,0.0,0.0,0.0,3428.65,0.0,true,1,1,6.948863,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 3,61.14,62.3,0.0,3.87,2.835,0.0,12.163,189.542,0.0,0.0,94.482,16.727,OTTAWA,ONTARIO,Attic/gable,185.7,SW,S-1007,Two,Rowhouse-endunit,484.1,OTTAWA,0.0,0.0,5.5,3.5,0.0,3.5,4.3,0.0,0.0,0.0,0.486,0.644,0.0,0.644,0.564,0.0,0.0,0.0,0.506,0.46,0.0,0.46,0.48,0.0,Zone 6,,Natural gas,ERS-1210.H2K,sim-188.choices,HTAP-options.json,General,HTAP-work-27,188,HTAP-sim-188,Details in JSON output,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Details in JSON output,Details in JSON output,true,0.0,S,Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Reference-9.36;,true,NA,NA,NA,NA,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Reference-9.36,NA,ONTARIO,32.0,2.4,0.0,3.7,20.6,32.0,0,25.6,84.8,2.3,17841.8,551.8,0.0,0.0,0.0,66,4500,2.88,7.02,87.5,1.0,3354.1,4471.9,0.0,2971.0,47.9,10.5,3015.95,435.05,3451.0,0.0,0.0,0.0,3451.0,0.0,true,1,1,7.015909,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 2,61.14,62.3,0.0,3.87,2.835,0.0,12.163,191.214,0.0,0.0,99.665,13.216,OTTAWA,ONTARIO,Attic/gable,185.7,SW,S-1007,Two,Rowhouse-endunit,484.1,OTTAWA,0.0,0.0,5.2,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.479,0.0,0.0,0.0,0.569,0.0,0.0,0.0,0.359,0.0,0.0,0.0,0.222,0.0,Zone 6,,Natural gas,ERS-1210.H2K,sim-189.choices,HTAP-options.json,General,HTAP-work-28,189,HTAP-sim-189,Details in JSON output,0.0,0.0,0.0,3215.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3215.89,0.0,0,Details in JSON output,Details in JSON output,true,3215.89,S,Opt-CasementWindows=>NC-2g-LG-u1.65;Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Proposed-9.36;,true,NA,NA,NA,NC-2g-LG-u1.65,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Proposed-9.36,NA,ONTARIO,35.0,2.0,0.0,2.8,20.5,35.0,0,25.6,86.5,2.3,18313.9,551.7,0.0,0.0,0.0,64,4500,3.068,6.17,90.6,1.0,2194.8,4280.5,0.0,3043.0,52.4,6.1,3087.98,435.02,3523.0,0.0,0.0,0.0,3523.0,0.0,true,1,1,6.168316,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 2,61.14,62.3,0.0,3.87,2.835,0.0,12.163,189.542,0.0,0.0,94.482,16.727,OTTAWA,ONTARIO,Attic/gable,185.7,SW,S-1007,Two,Rowhouse-endunit,484.1,OTTAWA,0.0,0.0,5.5,3.5,0.0,3.5,4.3,0.0,0.0,0.0,0.484,0.606,0.0,0.606,0.54,0.0,0.0,0.0,0.351,0.186,0.0,0.186,0.257,0.0,Zone 6,,Natural gas,ERS-1210.H2K,sim-190.choices,HTAP-options.json,General,HTAP-work-29,190,HTAP-sim-190,Details in JSON output,0.0,0.0,0.0,4303.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4303.42,0.0,0,Details in JSON output,Details in JSON output,true,4303.42,S,Opt-CasementWindows=>NC-2g-LG-u1.65;Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Reference-9.36;,true,NA,NA,NA,NC-2g-LG-u1.65,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Reference-9.36,NA,ONTARIO,36.6,2.1,0.0,2.9,20.6,36.5,0,25.6,88.3,2.3,18810.8,551.8,0.0,0.0,0.0,66,4500,2.835,6.7,93.2,1.0,2434.7,4521.1,0.0,3118.9,54.7,6.8,3163.81,435.05,3598.86,0.0,0.0,0.0,3598.86,0.0,true,1,1,6.699688,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 2,61.14,62.3,0.0,3.87,2.835,0.0,12.163,191.214,0.0,0.0,99.665,13.216,OTTAWA,ONTARIO,Attic/gable,185.7,SW,S-1007,Two,Rowhouse-endunit,484.1,OTTAWA,0.0,0.0,5.2,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.479,0.0,0.0,0.0,0.569,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.283,0.0,Zone 6,,Natural gas,ERS-1210.H2K,sim-191.choices,HTAP-options.json,General,HTAP-work-30,191,HTAP-sim-191,Details in JSON output,0.0,0.0,0.0,3215.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3215.89,0.0,0,Details in JSON output,Details in JSON output,true,3215.89,S,Opt-CasementWindows=>NC-2g-MG-u1.65;Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Proposed-9.36;,true,NA,NA,NA,NC-2g-MG-u1.65,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Proposed-9.36,NA,ONTARIO,34.0,2.1,0.0,2.9,20.5,34.0,0,25.6,85.6,2.3,18081.5,551.6,0.0,0.0,0.0,64,4500,3.068,5.99,89.3,1.0,2355.9,4280.5,0.0,3007.5,50.9,6.6,3052.52,435.0,3487.51,0.0,0.0,0.0,3487.51,0.0,true,1,1,5.992191,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 2,61.14,62.3,0.0,3.87,2.835,0.0,12.163,189.542,0.0,0.0,94.482,16.727,OTTAWA,ONTARIO,Attic/gable,185.7,SW,S-1007,Two,Rowhouse-endunit,484.1,OTTAWA,0.0,0.0,5.5,3.5,0.0,3.5,4.3,0.0,0.0,0.0,0.484,0.606,0.0,0.606,0.54,0.0,0.0,0.0,0.394,0.255,0.0,0.255,0.313,0.0,Zone 6,,Natural gas,ERS-1210.H2K,sim-192.choices,HTAP-options.json,General,HTAP-work-31,192,HTAP-sim-192,Details in JSON output,0.0,0.0,0.0,4303.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4303.42,0.0,0,Details in JSON output,Details in JSON output,true,4303.42,S,Opt-CasementWindows=>NC-2g-MG-u1.65;Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Reference-9.36;,true,NA,NA,NA,NC-2g-MG-u1.65,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Reference-9.36,NA,ONTARIO,35.4,2.2,0.0,3.1,20.6,35.4,0,25.6,87.4,2.3,18555.7,551.8,0.0,0.0,0.0,66,4500,2.835,6.55,91.7,1.0,2671.4,4521.1,0.0,3079.9,53.0,7.7,3124.88,435.05,3559.93,0.0,0.0,0.0,3559.93,0.0,true,1,1,6.553586,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 3,61.14,62.3,0.0,3.87,2.835,0.0,12.163,191.214,0.0,0.0,99.665,13.216,OTTAWA,ONTARIO,Attic/gable,185.7,SW,S-1007,Two,Rowhouse-endunit,484.1,OTTAWA,0.0,0.0,5.2,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.459,0.0,0.0,0.0,0.553,0.0,0.0,0.0,0.478,0.0,0.0,0.0,0.425,0.0,Zone 6,,Natural gas,ERS-1211.H2K,sim-193.choices,HTAP-options.json,General,HTAP-work-32,193,HTAP-sim-193,Details in JSON output,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Details in JSON output,Details in JSON output,true,0.0,S,Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Proposed-9.36;,true,NA,NA,NA,NA,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Proposed-9.36,NA,ONTARIO,32.8,2.2,0.0,3.1,20.5,32.7,0,25.6,84.8,2.3,17840.4,551.5,0.0,0.0,0.0,65,4500,3.025,7.15,87.8,1.0,2719.1,4417.6,0.0,2970.7,49.0,7.9,3015.73,434.98,3450.7,0.0,0.0,0.0,3450.7,0.0,true,1,1,7.151003,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
