analysis_BCStepCode|TEDI_compliance,archetype|Area-Basement-m2,archetype|Area-Ceiling-m2,archetype|Area-Crawl-m2,archetype|Area-Door-m2,archetype|Area-DoorWin-m2,archetype|Area-ExposedFloor-m2,archetype|Area-Header-m2,archetype|Area-House-m2,archetype|Area-Slab-m2,archetype|Area-Walkout-m2,archetype|Area-Wall-m2,archetype|Area-Windows-m2,archetype|Base-Locale,archetype|Base-Region,archetype|Ceiling-Type,archetype|Floor-Area-m2,archetype|Front-Orientation,archetype|House-Builder,archetype|House-Storeys,archetype|House-Type,archetype|House-Volume-m3,archetype|Weather-Locale,archetype|Win-Area-m2-E,archetype|Win-Area-m2-N,archetype|Win-Area-m2-NE,archetype|Win-Area-m2-NW,archetype|Win-Area-m2-S,archetype|Win-Area-m2-SE,archetype|Win-Area-m2-SW,archetype|Win-Area-m2-W,archetype|Win-R-value-E,archetype|Win-R-value-N,archetype|Win-R-value-NE,archetype|Win-R-value-NW,archetype|Win-R-value-S,archetype|Win-R-value-SE,archetype|Win-R-value-SW,archetype|Win-R-value-W,archetype|Win-SHGC-E,archetype|Win-SHGC-N,archetype|Win-SHGC-NE,archetype|Win-SHGC-NW,archetype|Win-SHGC-S,archetype|Win-SHGC-SE,archetype|Win-SHGC-SW,archetype|Win-SHGC-W,archetype|climate-zone,archetype|fuel-DHW-presub,archetype|fuel-heating-presub,archetype|h2k-File,configuration|ChoiceFile,configuration|OptionsFile,configuration|Recovered-results,configuration|RunDirectory,configuration|RunNumber,configuration|SaveDirectory,configuration|version,cost-estimates|audit,cost-estimates|byAttribute|Opt-Ceilings,cost-estimates|byAttribute|Opt-AtticCeilings,cost-estimates|byAttribute|Opt-FlatCeilings,cost-estimates|byAttribute|Opt-CathCeilings,cost-estimates|byAttribute|Opt-ACH,cost-estimates|byAttribute|Opt-Windows,cost-estimates|byAttribute|Opt-DWHR,cost-estimates|byAttribute|Opt-AboveGradeWall,cost-estimates|byAttribute|Opt-Heating-Cooling,cost-estimates|byAttribute|Opt-VentSystem,cost-estimates|byAttribute|Opt-DHWSystem,cost-estimates|byAttribute|Opt-FoundationWallExtIns,cost-estimates|byAttribute|Opt-FoundationWallIntIns,cost-estimates|byAttribute|Opt-FoundationSlabBelowGrade,cost-estimates|byAttribute|Opt-FoundationSlabOnGrade,cost-estimates|byAttribute|Opt-FloorHeaderIntIns,cost-estimates|byAttribute|Opt-ExposedFloor,cost-estimates|byBuildingComponent|envelope,cost-estimates|byBuildingComponent|mechanical,cost-estimates|byBuildingComponent|renewable,cost-estimates|bySource,cost-estimates|costing-dimensions,cost-estimates|status,cost-estimates|total,input|GOconfig_rotate,input|House-ListOfUpgrades,input|House-Upgraded,input|Opt-ACH,input|Opt-AboveGradeWall,input|Opt-AtticCeilings,input|Opt-Baseloads,input|Opt-CathCeilings,input|Opt-Ceilings,input|Opt-DBFiles,input|Opt-DHWSystem,input|Opt-DWHR,input|Opt-DoorWindows,input|Opt-Doors,input|Opt-ExposedFloor,input|Opt-FlatCeilings,input|Opt-FloorHeaderIntIns,input|Opt-FoundationSlabBelowGrade,input|Opt-FoundationSlabOnGrade,input|Opt-FoundationWallExtIns,input|Opt-FoundationWallIntIns,input|Opt-FuelCost,input|Opt-H2K-PV,input|Opt-HRVspec,input|Opt-Heating-Cooling,input|Opt-Location,input|Opt-ResultHouseCode,input|Opt-Ruleset,input|Opt-Skylights,input|Opt-Specifications,input|Opt-Temperatures,input|Opt-VentSystem,input|Opt-WindowDistribution,input|Opt-Windows,input|Ruleset-Fuel-Source,input|Ruleset-Ventilation,input|Run-Locale,input|Run-Region,input|upgrade-package-list,output|AuxEnergyReq-HeatingGJ,output|AvgAirConditioning-COP,output|ERS-Value,output|Energy-CoolingGJ,output|Energy-DHWGJ,output|Energy-HeatingGJ,output|Energy-PV-kWh,output|Energy-PlugGJ,output|Energy-Total-GJ,output|Energy-VentGJ,output|EnergyEleckWh,output|EnergyGasM3,output|EnergyOil_l,output|EnergyProp_L,output|EnergyWood_cord,output|Gross-HeatLoss-GJ,output|HDDs,output|House-R-Value(SI),output|LapsedTime,output|MEUI_kWh_m2,output|NumTries,output|PEAK-Cooling-W,output|PEAK-Heating-W,output|Ref-En-Total-GJ,output|SimplePaybackYrs,output|TEDI_kWh_m2,output|TotalAirConditioning-LoadGJ,output|Useful-Solar-Gain-GJ,output|Util-Bill-Elec,output|Util-Bill-Gas,output|Util-Bill-Net,output|Util-Bill-Oil,output|Util-Bill-Prop,output|Util-Bill-Wood,output|Util-Bill-gross,output|Util-PV-revenue,status|H2KDirCheckSumMatch,status|H2KDirCopyAttempts,status|H2KExecutionAttempts,status|H2KExecutionTime,status|MD5master,status|MD5workingcopy,status|errors,status|infoMsgs,status|processingtime,status|substitute-h2k-err-msgs,status|success,status|warnings,
Step 1,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,ONTARIO,Attic/gable,181.6,S,,Two,SingleDetached,664.3,WINNIPEG,1.3,5.1,0,0,5.5,0,0,1.3,0.34,0.34,0,0,0.34,0,0,0.34,0.59,0.6,0,0,0.6,0,0,0.59,Zone 7a,,Natural gas,roadmapping-1946-1983v11_8.h2k,sim-37.choices,HTAP-options.json,General,HTAP-work-4,37,HTAP-sim-37,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7016.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7016.25,0,Details in JSON output,Details in JSON output,true,7016.25,S,Opt-DHWSystem=>ElecIDEAL;,true,ACH_6,Generic_Wall_R-10-eff,NA,NBC-Baseloads,NA,CeilR25,H2KCodeLibFile,ElecIDEAL,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,NBC-elec-heat,WINNIPEG,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.94,,,WINNIPEG,MANITOBA,{},130.2,0.0,0,0.0,17.1,130.2,0,26.3,173.6,0.0,48228.6,0.0,0.0,0.0,0.0,173.3,5670,1.692,2.58,225.4,1,3443.2,21029.9,0.0,3114.8,199.2,0.0,17.0,3594.75,0.0,3594.75,0.0,0.0,0.0,3594.75,0.0,true,1,1,2.5836285,470c9c257399fef59b733f5bc9bf2edf,470c9c257399fef59b733f5bc9bf2edf,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,ONTARIO,Attic/gable,181.6,S,,Two,SingleDetached,664.3,WINNIPEG,1.3,5.1,0,0,5.5,0,0,1.3,0.34,0.34,0,0,0.34,0,0,0.34,0.59,0.6,0,0,0.6,0,0,0.59,Zone 7a,,Natural gas,roadmapping-1946-1983v11_8.h2k,sim-38.choices,HTAP-options.json,General,HTAP-work-5,38,HTAP-sim-38,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18416.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18416.14,0,Details in JSON output,Details in JSON output,true,18416.14,S,Opt-DHWSystem=>ElecIDEAL;Opt-Heating-Cooling=>CCASHP;,true,ACH_6,Generic_Wall_R-10-eff,NA,NBC-Baseloads,NA,CeilR25,H2KCodeLibFile,ElecIDEAL,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,CCASHP,WINNIPEG,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.94,,,WINNIPEG,MANITOBA,{},129.9,2.8,0,2.0,17.1,86.5,0,26.3,132.1,0.0,36699.7,0.0,0.0,0.0,0.0,172.8,5670,1.692,3.01,161.4,1,3443.2,21126.1,0.0,2305.4,198.8,6.5,16.9,2785.42,0.0,2785.42,0.0,0.0,0.0,2785.42,0.0,true,1,1,3.0070412,470c9c257399fef59b733f5bc9bf2edf,470c9c257399fef59b733f5bc9bf2edf,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,81.44,88.1,0,3.532,0.0,0,17.145,290.987,0,0,170.672,11.537,OTTAWA,ONTARIO,Attic/gable,184.6,S,,Two,SingleDetached,661.0,WINNIPEG,1.2,5.0,0,0,4.1,0,0,1.2,0.34,0.34,0,0,0.34,0,0,0.34,0.59,0.6,0,0,0.599,0,0,0.59,Zone 7a,,Natural gas,roadmapping-1984-1995v11_8.h2k,sim-39.choices,HTAP-options.json,General,HTAP-work-6,39,HTAP-sim-39,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5655.0,0,Details in JSON output,Details in JSON output,true,5655.0,S,Opt-DHWSystem=>ElecIDEAL;,true,ACH_4_5,Generic_Wall_R-15-eff,NA,NBC-Baseloads,NA,CeilR30,H2KCodeLibFile,ElecIDEAL,none,NA,NA,VintageR20,NA,NA,VintageR5,NA,NA,VintageR10,rates2016,NA,NA,NBC-elec-heat,WINNIPEG,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.94,,,WINNIPEG,MANITOBA,{},93.2,0.0,0,0.0,17.1,93.2,0,26.3,136.5,0.0,37929.7,0.0,0.0,0.0,0.0,131.5,5670,2.151,2.92,165.9,1,3194.3,16254.9,0.0,2391.8,140.2,0.0,13.1,2871.77,0.0,2871.77,0.0,0.0,0.0,2871.77,0.0,true,1,1,2.9243633,470c9c257399fef59b733f5bc9bf2edf,470c9c257399fef59b733f5bc9bf2edf,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,81.44,88.1,0,3.532,0.0,0,17.145,290.987,0,0,170.672,11.537,OTTAWA,ONTARIO,Attic/gable,184.6,S,,Two,SingleDetached,661.0,WINNIPEG,1.2,5.0,0,0,4.1,0,0,1.2,0.34,0.34,0,0,0.34,0,0,0.34,0.59,0.6,0,0,0.599,0,0,0.59,Zone 7a,,Natural gas,roadmapping-1984-1995v11_8.h2k,sim-40.choices,HTAP-options.json,General,HTAP-work-7,40,HTAP-sim-40,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18458.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18458.12,0,Details in JSON output,Details in JSON output,true,18458.12,S,Opt-DHWSystem=>ElecIDEAL;Opt-Heating-Cooling=>CCASHP;,true,ACH_4_5,Generic_Wall_R-15-eff,NA,NBC-Baseloads,NA,CeilR30,H2KCodeLibFile,ElecIDEAL,none,NA,NA,VintageR20,NA,NA,VintageR5,NA,NA,VintageR10,rates2016,NA,NA,CCASHP,WINNIPEG,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.94,,,WINNIPEG,MANITOBA,{},93.0,2.7,0,1.9,17.1,59.0,0,26.3,104.6,0.0,29043.1,0.0,0.0,0.0,0.0,131.1,5670,2.151,3.57,117.4,1,3194.3,16350.5,0.0,1767.9,140.0,5.9,13.1,2247.93,0.0,2247.93,0.0,0.0,0.0,2247.93,0.0,true,1,1,3.5723838999999997,470c9c257399fef59b733f5bc9bf2edf,470c9c257399fef59b733f5bc9bf2edf,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,89.87,94.8,0,3.377,0.0,0,17.971,311.443,0,0,181.924,13.371,OTTAWA,ONTARIO,Attic/gable,203.2,S,,Two,SingleDetached,734.2,WINNIPEG,1.6,5.6,0,0,4.6,0,0,1.6,0.47,0.47,0,0,0.47,0,0,0.47,0.514,0.522,0,0,0.521,0,0,0.514,Zone 7a,,Natural gas,roadmapping-1996-2005v11_8.h2k,sim-41.choices,HTAP-options.json,General,HTAP-work-0,41,HTAP-sim-41,Details in JSON output,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5283.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5283.75,0,Details in JSON output,Details in JSON output,false,5283.75,S,Opt-DHWSystem=>ElecIDEAL;,true,ACH_3_5,Generic_Wall_R-15-eff,NA,NBC-Baseloads,NA,CeilR40,H2KCodeLibFile,ElecIDEAL,none,NA,NA,VintageR20,NA,NA,VintageR5,NA,NA,VintageR10,rates2016,NA,NA,NBC-elec-heat,WINNIPEG,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.13,,,WINNIPEG,MANITOBA,{},83.1,0.0,0,0.0,17.1,83.1,0,26.3,126.5,0.0,35134.7,0.0,0.0,0.0,0.0,121.5,5670,2.597,3.13,137.0,1,3259.6,14841.2,0.0,2195.6,113.6,0.0,13.1,2675.56,0.0,2675.56,0.0,0.0,0.0,2675.56,0.0,true,1,1,3.1275880000000003,470c9c257399fef59b733f5bc9bf2edf,470c9c257399fef59b733f5bc9bf2edf,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,89.87,94.8,0,3.377,0.0,0,17.971,311.443,0,0,181.924,13.371,OTTAWA,ONTARIO,Attic/gable,203.2,S,,Two,SingleDetached,734.2,WINNIPEG,1.6,5.6,0,0,4.6,0,0,1.6,0.47,0.47,0,0,0.47,0,0,0.47,0.514,0.522,0,0,0.521,0,0,0.514,Zone 7a,,Natural gas,roadmapping-1996-2005v11_8.h2k,sim-42.choices,HTAP-options.json,General,HTAP-work-1,42,HTAP-sim-42,Details in JSON output,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18718.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18718.39,0,Details in JSON output,Details in JSON output,false,18718.39,S,Opt-DHWSystem=>ElecIDEAL;Opt-Heating-Cooling=>CCASHP;,true,ACH_3_5,Generic_Wall_R-15-eff,NA,NBC-Baseloads,NA,CeilR40,H2KCodeLibFile,ElecIDEAL,none,NA,NA,VintageR20,NA,NA,VintageR5,NA,NA,VintageR10,rates2016,NA,NA,CCASHP,WINNIPEG,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.13,,,WINNIPEG,MANITOBA,{},83.0,2.6,0,1.9,17.1,51.6,0,26.3,97.1,0.0,26984.0,0.0,0.0,0.0,0.0,121.2,5670,2.597,2.91,96.5,1,3259.6,14936.4,0.0,1623.4,113.4,5.8,13.1,2103.38,0.0,2103.38,0.0,0.0,0.0,2103.38,0.0,true,1,1,2.9145021,470c9c257399fef59b733f5bc9bf2edf,470c9c257399fef59b733f5bc9bf2edf,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,91.39,96.5,0,3.287,0.0,0,18.615,323.273,0,0,191.743,13.128,OTTAWA,ONTARIO,Attic/gable,207.6,S,,Two,SingleDetached,757.5,WINNIPEG,1.4,5.9,0,0,4.3,0,0,1.4,0.47,0.47,0,0,0.47,0,0,0.47,0.513,0.522,0,0,0.52,0,0,0.513,Zone 7a,,Natural gas,roadmapping-2006-2011v11_8.h2k,sim-43.choices,HTAP-options.json,General,HTAP-work-2,43,HTAP-sim-43,Details in JSON output,,0,0.0,0.0,0.0,977.88,0.0,0.0,0.0,5036.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.88,5036.25,0,Details in JSON output,Details in JSON output,false,6014.13,S,Opt-DHWSystem=>ElecIDEAL;,true,ACH_2_5,Generic_Wall_R-15-eff,NA,NBC-Baseloads,NA,CeilR40,H2KCodeLibFile,ElecIDEAL,none,NA,NA,VintageR25,NA,NA,VintageR5,NA,NA,VintageR10,rates2016,NA,NA,NBC-elec-heat,WINNIPEG,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.13,,,WINNIPEG,MANITOBA,{},76.9,0.0,0,0.0,17.1,76.9,0,26.3,120.3,0.0,33418.9,0.0,0.0,0.0,0.0,114.8,5670,2.626,2.8,125.8,1,3211.8,13648.9,0.0,2075.1,102.9,0.0,12.7,2555.11,0.0,2555.11,0.0,0.0,0.0,2555.11,0.0,true,1,1,2.8007974,470c9c257399fef59b733f5bc9bf2edf,470c9c257399fef59b733f5bc9bf2edf,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,91.39,96.5,0,3.287,0.0,0,18.615,323.273,0,0,191.743,13.128,OTTAWA,ONTARIO,Attic/gable,207.6,S,,Two,SingleDetached,757.5,WINNIPEG,1.4,5.9,0,0,4.3,0,0,1.4,0.47,0.47,0,0,0.47,0,0,0.47,0.513,0.522,0,0,0.52,0,0,0.513,Zone 7a,,Natural gas,roadmapping-2006-2011v11_8.h2k,sim-44.choices,HTAP-options.json,General,HTAP-work-3,44,HTAP-sim-44,Details in JSON output,,0,0.0,0.0,0.0,977.88,0.0,0.0,0.0,18779.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.88,18779.96,0,Details in JSON output,Details in JSON output,false,19757.84,S,Opt-DHWSystem=>ElecIDEAL;Opt-Heating-Cooling=>CCASHP;,true,ACH_2_5,Generic_Wall_R-15-eff,NA,NBC-Baseloads,NA,CeilR40,H2KCodeLibFile,ElecIDEAL,none,NA,NA,VintageR25,NA,NA,VintageR5,NA,NA,VintageR10,rates2016,NA,NA,CCASHP,WINNIPEG,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.13,,,WINNIPEG,MANITOBA,{},76.8,2.6,0,1.9,17.1,46.7,0,26.3,92.2,0.0,25620.0,0.0,0.0,0.0,0.0,114.5,5670,2.626,3.11,87.9,1,3211.8,13743.1,0.0,1527.6,102.7,5.6,12.6,2007.63,0.0,2007.63,0.0,0.0,0.0,2007.63,0.0,true,1,1,3.1058578,470c9c257399fef59b733f5bc9bf2edf,470c9c257399fef59b733f5bc9bf2edf,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,91.39,96.5,0,3.287,0.0,0,18.615,323.273,0,0,191.743,13.128,OTTAWA,ONTARIO,Attic/gable,207.6,S,,Two,SingleDetached,757.5,WINNIPEG,1.4,5.9,0,0,4.3,0,0,1.4,0.556,0.556,0,0,0.556,0,0,0.556,0.339,0.345,0,0,0.344,0,0,0.339,Zone 7a,,Natural gas,roadmapping-2012-2019v11_8.h2k,sim-45.choices,HTAP-options.json,General,HTAP-work-4,45,HTAP-sim-45,Details in JSON output,,0,0.0,0.0,0.0,977.88,0.0,0.0,0.0,4665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.88,4665.0,0,Details in JSON output,Details in JSON output,false,5642.88,S,Opt-DHWSystem=>ElecIDEAL;,true,ACH_2_5,Generic_Wall_R-17-eff,NA,NBC-Baseloads,NA,CeilR50,H2KCodeLibFile,ElecIDEAL,none,NA,NA,VintageR30,NA,NA,VintageR10,NA,NA,VintageR17,rates2016,NA,NA,NBC-elec-heat,WINNIPEG,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u1.8,,,WINNIPEG,MANITOBA,{},67.9,0.0,0,0.0,17.1,67.9,0,26.3,111.3,0.0,30916.0,0.0,0.0,0.0,0.0,101.3,5670,3.007,2.86,113.8,1,2801.2,12311.4,0.0,1899.4,90.9,0.0,8.6,2379.41,0.0,2379.41,0.0,0.0,0.0,2379.41,0.0,true,1,1,2.8619596,470c9c257399fef59b733f5bc9bf2edf,470c9c257399fef59b733f5bc9bf2edf,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,91.39,96.5,0,3.287,0.0,0,18.615,323.273,0,0,191.743,13.128,OTTAWA,ONTARIO,Attic/gable,207.6,S,,Two,SingleDetached,757.5,WINNIPEG,1.4,5.9,0,0,4.3,0,0,1.4,0.556,0.556,0,0,0.556,0,0,0.556,0.339,0.345,0,0,0.344,0,0,0.339,Zone 7a,,Natural gas,roadmapping-2012-2019v11_8.h2k,sim-46.choices,HTAP-options.json,General,HTAP-work-5,46,HTAP-sim-46,Details in JSON output,,0,0.0,0.0,0.0,977.88,0.0,0.0,0.0,18779.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.88,18779.96,0,Details in JSON output,Details in JSON output,false,19757.84,S,Opt-DHWSystem=>ElecIDEAL;Opt-Heating-Cooling=>CCASHP;,true,ACH_2_5,Generic_Wall_R-17-eff,NA,NBC-Baseloads,NA,CeilR50,H2KCodeLibFile,ElecIDEAL,none,NA,NA,VintageR30,NA,NA,VintageR10,NA,NA,VintageR17,rates2016,NA,NA,CCASHP,WINNIPEG,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u1.8,,,WINNIPEG,MANITOBA,{},67.8,2.5,0,1.6,17.1,41.6,0,26.3,86.7,0.0,24093.5,0.0,0.0,0.0,0.0,101.0,5670,3.007,3.39,80.6,1,2801.2,12405.6,0.0,1420.5,90.8,4.5,8.5,1900.47,0.0,1900.47,0.0,0.0,0.0,1900.47,0.0,true,1,1,3.3936021,470c9c257399fef59b733f5bc9bf2edf,470c9c257399fef59b733f5bc9bf2edf,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,WINNIPEG,1.7,2.1,0,0,2.7,0,0,1.7,0.3,0.3,0,0,0.3,0,0,0.3,0.631,0.633,0,0,0.635,0,0,0.631,Zone 7a,,Natural gas,roadmapping-pre-1946v11_8.h2k,sim-47.choices,HTAP-options.json,General,HTAP-work-6,47,HTAP-sim-47,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7511.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7511.25,0,Details in JSON output,Details in JSON output,true,7511.25,S,Opt-DHWSystem=>ElecIDEAL;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,ElecIDEAL,none,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,NBC-elec-heat,WINNIPEG,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u3.33,,,WINNIPEG,MANITOBA,{},146.5,0.0,0,0.0,17.1,146.5,0,26.3,189.8,0.0,52735.0,0.0,0.0,0.0,0.0,183.7,5670,1.243,2.79,344.2,1,3140.2,22846.8,0.0,3431.1,308.2,0.0,11.5,3911.11,0.0,3911.11,0.0,0.0,0.0,3911.11,0.0,true,1,1,2.789295,470c9c257399fef59b733f5bc9bf2edf,470c9c257399fef59b733f5bc9bf2edf,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,WINNIPEG,1.7,2.1,0,0,2.7,0,0,1.7,0.3,0.3,0,0,0.3,0,0,0.3,0.631,0.633,0,0,0.635,0,0,0.631,Zone 7a,,Natural gas,roadmapping-pre-1946v11_8.h2k,sim-48.choices,HTAP-options.json,General,HTAP-work-7,48,HTAP-sim-48,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17722.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17722.09,0,Details in JSON output,Details in JSON output,true,17722.09,S,Opt-DHWSystem=>ElecIDEAL;Opt-Heating-Cooling=>CCASHP;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,ElecIDEAL,none,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,CCASHP,WINNIPEG,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u3.33,,,WINNIPEG,MANITOBA,{},146.2,2.9,0,1.8,17.1,101.7,0,26.3,147.2,0.0,40880.0,0.0,0.0,0.0,0.0,183.2,5670,1.243,3.19,253.8,1,3140.2,22943.2,0.0,2598.9,307.6,6.0,11.4,3078.88,0.0,3078.88,0.0,0.0,0.0,3078.88,0.0,true,1,1,3.1925641,470c9c257399fef59b733f5bc9bf2edf,470c9c257399fef59b733f5bc9bf2edf,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,ONTARIO,Attic/gable,181.6,S,,Two,SingleDetached,664.3,TORONTO,1.3,5.1,0,0,5.5,0,0,1.3,0.34,0.34,0,0,0.34,0,0,0.34,0.59,0.6,0,0,0.6,0,0,0.59,Zone 5,,Natural gas,roadmapping-1946-1983v11_8.h2k,sim-49.choices,HTAP-options.json,General,HTAP-work-0,49,HTAP-sim-49,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5283.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5283.75,0,Details in JSON output,Details in JSON output,true,5283.75,S,Opt-DHWSystem=>ElecIDEAL;,true,ACH_6,Generic_Wall_R-10-eff,NA,NBC-Baseloads,NA,CeilR25,H2KCodeLibFile,ElecIDEAL,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,NBC-elec-heat,TORONTO,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.94,,,TORONTO,ONTARIO,{},79.9,0.0,0,0.0,15.4,79.9,0,26.3,121.5,0.0,33761.8,0.0,0.0,0.0,0.0,116.7,3520,1.692,3.49,145.7,1,3759.1,14595.3,0.0,2099.2,122.2,0.0,12.3,2579.18,0.0,2579.18,0.0,0.0,0.0,2579.18,0.0,true,1,1,3.4874872999999997,470c9c257399fef59b733f5bc9bf2edf,470c9c257399fef59b733f5bc9bf2edf,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,ONTARIO,Attic/gable,181.6,S,,Two,SingleDetached,664.3,TORONTO,1.3,5.1,0,0,5.5,0,0,1.3,0.34,0.34,0,0,0.34,0,0,0.34,0.59,0.6,0,0,0.6,0,0,0.59,Zone 5,,Natural gas,roadmapping-1946-1983v11_8.h2k,sim-50.choices,HTAP-options.json,General,HTAP-work-1,50,HTAP-sim-50,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18416.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18416.14,0,Details in JSON output,Details in JSON output,true,18416.14,S,Opt-DHWSystem=>ElecIDEAL;Opt-Heating-Cooling=>CCASHP;,true,ACH_6,Generic_Wall_R-10-eff,NA,NBC-Baseloads,NA,CeilR25,H2KCodeLibFile,ElecIDEAL,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,CCASHP,TORONTO,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.94,,,TORONTO,ONTARIO,{},79.7,2.7,0,2.4,15.4,35.0,0,26.3,79.5,0.0,22083.1,0.0,0.0,0.0,0.0,116.2,3520,1.692,3.28,80.8,1,3759.1,14666.1,0.0,1279.3,122.0,7.6,12.2,1759.33,0.0,1759.33,0.0,0.0,0.0,1759.33,0.0,true,1,1,3.2809216,470c9c257399fef59b733f5bc9bf2edf,470c9c257399fef59b733f5bc9bf2edf,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
