myID,myBatchname,archetype|Area-Wall-m2,archetype|Area-Windows-m2,archetype|Base-Locale,archetype|Floor-Area-m2,archetype|House-Storeys,archetype|House-Type,archetype|House-Volume-m3,archetype|climate-zone,archetype|fuel-DHW-presub,archetype|fuel-heating-presub,archetype|h2k-File,cost-estimates|byAttribute|Opt-Ceilings,cost-estimates|byAttribute|Opt-AtticCeilings,cost-estimates|byAttribute|Opt-FlatCeilings,cost-estimates|byAttribute|Opt-CathCeilings,cost-estimates|byAttribute|Opt-ACH,cost-estimates|byAttribute|Opt-CasementWindows,cost-estimates|byAttribute|Opt-DWHRSystem,cost-estimates|byAttribute|Opt-GenericWall_1Layer_definitions,cost-estimates|byAttribute|Opt-HVACSystem,cost-estimates|byAttribute|Opt-HRVonly,cost-estimates|byAttribute|Opt-DHWSystem,cost-estimates|byAttribute|Opt-FoundationWallExtIns,cost-estimates|byAttribute|Opt-FoundationWallIntIns,cost-estimates|byAttribute|Opt-FoundationSlabBelowGrade,cost-estimates|byAttribute|Opt-FoundationSlabOnGrade,cost-estimates|byAttribute|Opt-FloorHeaderIntIns,cost-estimates|byAttribute|Opt-ExposedFloor,cost-estimates|byBuildingComponent|envelope,cost-estimates|byBuildingComponent|mechanical,cost-estimates|byBuildingComponent|renewable,cost-estimates|bySource,cost-estimates|total,input|House-ListOfUpgrades,input|House-Upgraded,input|Opt-ACH,input|Opt-Baseloads,input|Opt-CasementWindows,input|Opt-Ceilings,input|Opt-DHWSystem,input|Opt-DWHRSystem,input|Opt-FlatCeilings,input|Opt-FloorHeaderIntIns,input|Opt-FoundationSlabBelowGrade,input|Opt-FoundationSlabOnGrade,input|Opt-FoundationWallExtIns,input|Opt-FoundationWallIntIns,input|Opt-GenericWall_1Layer_definitions,input|Opt-HRVonly,input|Opt-HRVspec,input|Opt-Heating-Cooling,input|Opt-Location,input|Opt-Ruleset,input|Opt-WindowDistribution,input|Ruleset-Fuel-Source,input|Ruleset-Ventilation,input|Run-Locale,input|Run-Region,input|upgrade-package-list,output|AuxEnergyReq-HeatingGJ,output|AnnDHWLoad-GJ,output|AvgAirConditioning-COP,output|Energy-CoolingGJ,output|Energy-DHWGJ,output|Energy-HeatingGJ,output|Energy-PlugGJ,output|Energy-Total-GJ,output|Energy-VentGJ,output|EnergyEleckWh,output|EnergyGasM3,output|EnergyOil_l,output|EnergyProp_L,output|EnergyWood_cord,output|Gross-HeatLoss-GJ,output|HDDs,output|PEAK-Cooling-W,output|PEAK-Heating-W,status|success,output|SpcHeatHP-GJ,output|SpcHeatElec-GJ,output|SpcHeatGas-GJ,output|SpcHeatOil-GJ,output|SpcHeatWood-GJ,output|SpcHeatProp-GJ,output|HotWaterElec-GJ,output|HotWaterGas-GJ,output|HotWaterOil-GJ,output|HotWaterWood-GJ,output|HotWaterProp-GJ,
id-650,dhw-results.csv,181.924,13.371,OTTAWA,203.2,Two,SingleDetached,734.2,Zone 6,,Natural gas,roadmapping-1996-2005.h2k,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4417.5,0,Details in JSON output,4417.5,Opt-DHWSystem=>ElecIDEAL;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_3_5,NBC-Baseloads,dbl-clear-u2.13,CeilR40,ElecIDEAL,NA,NA,NA,VintageR5,NA,NA,VintageR10,Generic_Wall_R-15-eff,NA,NA,NBC-elec-heat,FREDERICTON,ArchetypeRoadmapping_elec,NA,,,FREDERICTON,NEW BRUNSWICK,{},59.0,16.4,0.0,0.0,16.4,59.0,26.3,101.6,0.0,28234.6,0.0,0.0,0.0,0.0,95.9,4670,3063.9,11763.7,true,0,59.0,0.0,0.0,0.0,0.0,16.4,0.0,0.0,0.0,0.0,
id-651,dhw-results.csv,181.924,13.371,OTTAWA,203.2,Two,SingleDetached,734.2,Zone 6,,Natural gas,roadmapping-1996-2005.h2k,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4417.5,0,Details in JSON output,4417.5,Opt-DHWSystem=>elec_tankless_ef0.96;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_3_5,NBC-Baseloads,dbl-clear-u2.13,CeilR40,elec_tankless_ef0.96,NA,NA,NA,VintageR5,NA,NA,VintageR10,Generic_Wall_R-15-eff,NA,NA,NBC-elec-heat,FREDERICTON,ArchetypeRoadmapping_elec,NA,,,FREDERICTON,NEW BRUNSWICK,{},58.6,16.4,0.0,0.0,17.1,58.6,26.3,102.0,0.0,28330.1,0.0,0.0,0.0,0.0,96.0,4670,3063.9,11763.7,true,0,58.6,0.0,0.0,0.0,0.0,17.1,0.0,0.0,0.0,0.0,
id-652,dhw-results.csv,181.924,13.371,OTTAWA,203.2,Two,SingleDetached,734.2,Zone 6,,Natural gas,roadmapping-1996-2005.h2k,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2318.22,0.0,0.0,0.0,0.0,0.0,0,0.0,6859.469999999999,0,Details in JSON output,6859.469999999999,Opt-DHWSystem=>elec_heatpump_ef2.30;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_3_5,NBC-Baseloads,dbl-clear-u2.13,CeilR40,elec_heatpump_ef2.30,NA,NA,NA,VintageR5,NA,NA,VintageR10,Generic_Wall_R-15-eff,NA,NA,NBC-elec-heat,FREDERICTON,ArchetypeRoadmapping_elec,NA,,,FREDERICTON,NEW BRUNSWICK,{},63.6,16.4,0.0,0.0,7.9,63.6,26.3,97.7,0.0,27151.4,0.0,0.0,0.0,0.0,96.8,4670,3063.9,12039.3,true,0,63.6,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,
id-653,dhw-results.csv,181.924,13.371,OTTAWA,203.2,Two,SingleDetached,734.2,Zone 6,,Natural gas,roadmapping-1996-2005.h2k,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2318.22,0.0,0.0,0.0,0.0,0.0,0,0.0,6859.469999999999,0,Details in JSON output,6859.469999999999,Opt-DHWSystem=>HPHotWater;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_3_5,NBC-Baseloads,dbl-clear-u2.13,CeilR40,HPHotWater,NA,NA,NA,VintageR5,NA,NA,VintageR10,Generic_Wall_R-15-eff,NA,NA,NBC-elec-heat,FREDERICTON,ArchetypeRoadmapping_elec,NA,,,FREDERICTON,NEW BRUNSWICK,{},63.2,16.4,0.0,0.0,7.1,63.2,26.3,96.6,0.0,26820.2,0.0,0.0,0.0,0.0,96.9,4670,3063.9,12039.3,true,0,63.2,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,
id-654,dhw-results.csv,181.924,13.371,OTTAWA,203.2,Two,SingleDetached,734.2,Zone 6,,Natural gas,roadmapping-1996-2005.h2k,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1743.09,0.0,0.0,0.0,0.0,0.0,0,0.0,6160.59,0,Details in JSON output,6160.59,Opt-DHWSystem=>GasInstantaneous;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_3_5,NBC-Baseloads,dbl-clear-u2.13,CeilR40,GasInstantaneous,NA,NA,NA,VintageR5,NA,NA,VintageR10,Generic_Wall_R-15-eff,NA,NA,NBC-elec-heat,FREDERICTON,ArchetypeRoadmapping_elec,NA,,,FREDERICTON,NEW BRUNSWICK,{},58.8,16.4,0.0,0.0,17.3,58.8,26.3,102.3,0.0,23629.3,463.4,0.0,0.0,0.0,95.9,4670,3063.9,11763.7,true,0,58.8,0.0,0.0,0.0,0.0,0.0,17.3,0.0,0.0,0.0,
id-655,dhw-results.csv,181.924,13.371,OTTAWA,203.2,Two,SingleDetached,734.2,Zone 6,,Natural gas,roadmapping-1996-2005.h2k,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4417.5,0,Details in JSON output,4417.5,Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_3_5,NBC-Baseloads,dbl-clear-u2.13,CeilR40,vintageOilEF0.55,NA,NA,NA,VintageR5,NA,NA,VintageR10,Generic_Wall_R-15-eff,NA,NA,NBC-elec-heat,FREDERICTON,ArchetypeRoadmapping_oil,NA,,,FREDERICTON,NEW BRUNSWICK,{},55.7,16.4,0.0,0.0,29.5,55.7,26.3,111.5,0.0,22779.5,0.0,765.0,0.0,0.0,96.8,4670,3063.9,11763.7,true,0,55.7,0.0,0.0,0.0,0.0,0.0,0.0,29.5,0.0,0.0,
id-656,dhw-results.csv,181.924,13.371,OTTAWA,203.2,Two,SingleDetached,734.2,Zone 6,,Natural gas,roadmapping-1996-2005.h2k,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4417.5,0,Details in JSON output,4417.5,Opt-DHWSystem=>ElecIDEAL;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_3_5,NBC-Baseloads,dbl-clear-u2.13,CeilR40,ElecIDEAL,NA,NA,NA,VintageR5,NA,NA,VintageR10,Generic_Wall_R-15-eff,NA,NA,NBC-elec-heat,FREDERICTON,ArchetypeRoadmapping_oil,NA,,,FREDERICTON,NEW BRUNSWICK,{},59.0,16.4,0.0,0.0,16.4,59.0,26.3,101.6,0.0,28234.6,0.0,0.0,0.0,0.0,95.9,4670,3063.9,11763.7,true,0,59.0,0.0,0.0,0.0,0.0,16.4,0.0,0.0,0.0,0.0,
id-657,dhw-results.csv,181.924,13.371,OTTAWA,203.2,Two,SingleDetached,734.2,Zone 6,,Natural gas,roadmapping-1996-2005.h2k,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4417.5,0,Details in JSON output,4417.5,Opt-DHWSystem=>elec_tankless_ef0.96;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_3_5,NBC-Baseloads,dbl-clear-u2.13,CeilR40,elec_tankless_ef0.96,NA,NA,NA,VintageR5,NA,NA,VintageR10,Generic_Wall_R-15-eff,NA,NA,NBC-elec-heat,FREDERICTON,ArchetypeRoadmapping_oil,NA,,,FREDERICTON,NEW BRUNSWICK,{},58.6,16.4,0.0,0.0,17.1,58.6,26.3,102.0,0.0,28330.1,0.0,0.0,0.0,0.0,96.0,4670,3063.9,11763.7,true,0,58.6,0.0,0.0,0.0,0.0,17.1,0.0,0.0,0.0,0.0,
id-658,dhw-results.csv,181.924,13.371,OTTAWA,203.2,Two,SingleDetached,734.2,Zone 6,,Natural gas,roadmapping-1996-2005.h2k,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2318.22,0.0,0.0,0.0,0.0,0.0,0,0.0,6859.469999999999,0,Details in JSON output,6859.469999999999,Opt-DHWSystem=>elec_heatpump_ef2.30;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_3_5,NBC-Baseloads,dbl-clear-u2.13,CeilR40,elec_heatpump_ef2.30,NA,NA,NA,VintageR5,NA,NA,VintageR10,Generic_Wall_R-15-eff,NA,NA,NBC-elec-heat,FREDERICTON,ArchetypeRoadmapping_oil,NA,,,FREDERICTON,NEW BRUNSWICK,{},63.6,16.4,0.0,0.0,7.9,63.6,26.3,97.7,0.0,27151.4,0.0,0.0,0.0,0.0,96.8,4670,3063.9,12039.3,true,0,63.6,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,
id-659,dhw-results.csv,181.924,13.371,OTTAWA,203.2,Two,SingleDetached,734.2,Zone 6,,Natural gas,roadmapping-1996-2005.h2k,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2318.22,0.0,0.0,0.0,0.0,0.0,0,0.0,6859.469999999999,0,Details in JSON output,6859.469999999999,Opt-DHWSystem=>HPHotWater;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_3_5,NBC-Baseloads,dbl-clear-u2.13,CeilR40,HPHotWater,NA,NA,NA,VintageR5,NA,NA,VintageR10,Generic_Wall_R-15-eff,NA,NA,NBC-elec-heat,FREDERICTON,ArchetypeRoadmapping_oil,NA,,,FREDERICTON,NEW BRUNSWICK,{},63.2,16.4,0.0,0.0,7.1,63.2,26.3,96.6,0.0,26820.2,0.0,0.0,0.0,0.0,96.9,4670,3063.9,12039.3,true,0,63.2,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,
